year,month,state,customers,price,revenue,sales
2001,8,Florida,,7.9,1530.5131,19369.65931
2001,8,Virginia,,6.57,617.96183,9403.76786
2001,8,Washington,,5.47,291.40296,5327.83292
2001,8,West Virginia,,5.14,121.84854,2369.75638
2001,8,Wisconsin,,6.28,399.90545,6372.93371
2001,8,Wyoming,,4.58,52.45932,1146.31006
2001,8,New England,,10.37,1182.4776,11403.59908
2001,8,Middle Atlantic,,10.49,3547.95368,33835.12374
2001,8,East North Central,,6.88,3777.06556,54907.68236
2001,8,West North Central,,6.81,1743.91499,25620.46859
2001,8,South Atlantic,,7.11,5027.18671,70677.4869
2001,8,East South Central,,5.64,1623.62156,28791.88504
2001,8,West South Central,,7.55,3878.03858,51345.64853
2001,8,Mountain,,6.87,1489.34341,21679.79207
2001,8,Pacific Contiguous,,11.02,3596.53493,32628.45733
2001,8,Pacific Noncontiguous,,13.15,171.23047,1302.50878
2001,8,U.S. Total,,7.84,26037.36749,332192.65242
2001,8,Mississippi,,6.82,312.19132,4578.04857
2001,8,Missouri,,7.08,531.02663,7501.99229
2001,8,Montana,,6.37,63.11647,990.51006
2001,8,Nebraska,,6.02,151.4139,2516.54341
2001,8,Nevada,,8.59,257.08879,2994.25647
2001,8,New Hampshire,,10.6,101.96297,962.04347
2001,8,New Jersey,,9.89,754.32691,7628.68321
2001,8,Idaho,,5.17,104.40926,2019.84128
2001,8,Illinois,,7.78,1081.44233,13895.24861
2001,8,Indiana,,5.38,513.69519,9544.73819
2001,8,Iowa,,6.85,269.70284,3934.9444
2001,8,Kansas,,6.8,269.45157,3963.31452
2001,8,Kentucky,,4.71,335.47944,7125.37691
2001,8,Louisiana,,6.45,480.033,7441.22737
2001,8,Maine,,11.16,119.27836,1068.80086
2001,8,Maryland,,7.71,469.15986,6087.3292
2001,8,Massachusetts,,10.23,526.2766,5145.97463
2001,8,Michigan,,7.29,742.90118,10186.68285
2001,8,Minnesota,,6.88,413.77314,6014.23397
2001,8,Alabama,,5.78,457.32416,7906.56345
2001,8,Alaska,,10.78,45.5571,422.70564
2001,8,Arizona,,7.87,514.06824,6529.11864
2001,8,Arkansas,,6.58,291.3267,4428.11278
2001,9,Montana,,6.22,57.92143,931.31488
2001,9,Alabama,,5.56,395.18199,7102.06398
2001,9,Alaska,,10.24,44.04725,429.95111
2001,9,Arizona,,7.77,476.34214,6130.78171
2001,9,Arkansas,,6.44,262.27541,4072.3678
2001,9,California,,13.13,2704.73577,20600.89551
2001,9,Colorado,,6.66,264.60636,3975.55517
2001,9,Connecticut,,9.7,232.81408,2398.94845
2001,9,Delaware,,7.72,79.40274,1029.16178
2001,9,District of Columbia,,8.45,76.05502,899.61619
2001,9,Florida,,7.93,1571.01523,19800.04381
2001,9,Georgia,,6.51,677.17517,10407.9602
2001,9,Hawaii,,14.12,119.69568,847.58731
2001,9,Idaho,,4.86,79.00332,1625.39869
2001,9,Illinois,,7.43,832.42167,11198.585
2001,9,Indiana,,5.29,432.57839,8183.99251
2001,9,Iowa,,6.39,196.95045,3080.42688
2001,9,Kansas,,6.47,195.98462,3029.73399
2001,9,Kentucky,,4.37,289.41636,6623.59752
2001,9,Louisiana,,6.48,450.27392,6949.53428
2001,9,Maine,,11.37,102.19778,898.85499
2001,9,Maryland,,7.32,371.37429,5073.05027
2001,9,Massachusetts,,13.03,545.95965,4190.54456
2001,9,Michigan,,6.88,562.61901,8177.18087
